null|Jlj Concept School|71.5 Km Stone, Nh-2, Tehsil Hodal, Dist. Palwal , Haryana|N/A|HR|121105|null|Aruna Singh|09254301342|Principal|conceptschool@jljindia.in|Asia/Kolkata|IN
null|John F Kennedy Public School|Sector-28 Faridabad Haryana|N/A|HR|121001|null|Ms Ruchi A Tandon|null|Principal|johnfkennedypublicschool@yahoo.co.in|Asia/Kolkata|IN
null|John Wesley Convent School|Gohana Road |N/A|HR|124001|null|Ms. Vijyan Bala|322422|Principal|opgmschool@gmail.com|Asia/Kolkata|IN
null|Jps Academy Assandh|Jps Academy Karnal Road Assandh Distt Karnal 132039|N/A|HR|132039|null|Mohan Singh|01749279077 09896296939|Principal|jps_assandh@yahoo.co.in|Asia/Kolkata|IN
null|Jupiter Public School|Nh-10, Rohad Bypass|N/A|HR|124507|null|Rajpal Singh Sanwal|01276-276249 276221|Principal|jpsrohad@yahoo.co.in|Asia/Kolkata|IN
null|K C M Public High School|Delhi Agra Highway, Banchari, Hodal, Distt Faridabad Haryana|N/A|HR|121106|null|Mr. Mrs Parul Bhardwaj|01275 322578|Principal|kcmps5@gmail.com|Asia/Kolkata|IN
null|K L Arya D A V Public School|Hissar Haryana|N/A|HR|125001|null|Dr Mrs Asha Bhandari|01463 72862|Principal|bansalkr@nde.vsnl.net.in|Asia/Kolkata|IN
null|K L M Dayanand Pub S S School No 1|Nehru Ground N I T Faridabad Haryana|N/A|HR|121001|null|Mrs Urmil Mediratta|01396271400|Principal|rank@del3.vsnl.net.in|Asia/Kolkata|IN
null|K L Mehta Dayanand Public S S School|No 2 Sector 16 Faridabad Haryana|N/A|HR|121001|null|Mrs Veena Goswami|287080|Principal|shaifsan@yahoo.com|Asia/Kolkata|IN
null|K.C.M. Army High School, Bhiwani|Tigdana More, Bhiwani, Haryana.|N/A|HR|127021|null|Atam Prakash Gandhi|0522 01664-276190|Principal|kcm_school_army@yahoo.com|Asia/Kolkata|IN
null|K.D.M. Public Sr. Sec. School|Baluda Road, Sohna, Gurgaon.|N/A|HR|122103|null|Mr.Mukesh Kumar|09991979018 09354340537|Principal|kdmpublicschool9@gmail.com|Asia/Kolkata|IN
null|K.M Public School|Hansi Road Bhiwani Haryana|N/A|HR|127021|null|Asha Awasthi|01662 41268|Principal|kmps_bhiwani@rediffmail.com|Asia/Kolkata|IN
null|K.N. Sr. Sec. School|Ghikara Road, Charkhi Dadri|N/A|HR|127306|null|Navita|09416233171 09896741986|Principal|knschoolckd@gmail.com|Asia/Kolkata|IN
null|Kali Ram Dav Public School|Safidon Distt Jind Haryana|N/A|HR|126112|null|Mr. Mr Ashok Kumar Sharma|01686 262833|Principal|aks490bwn@yahoo.com|Asia/Kolkata|IN
null|Kanhiya Public School Samalkha, Barota|V.P.O.-Barota|N/A|HR|132037|null|Mrs.Shabnam|0184-2007135|Principal|kps.karnal@gmail.com|Asia/Kolkata|IN
null|Kanya Gurukul, Kurukshetra|Vill|N/A|HR|N/A|null|Jasvir Kaur|01744207481|Principal|kanyaakkr@gmail.com|Asia/Kolkata|IN
null|Kapil Vidya Mandir Seniour Secondary School|Kapil Vidya Mandir Sr. Sec. School|N/A|HR|123029|null|Raj Kumar Sharma|0471 01285220308|Principal|kapiltiwari@rediffmail.com|Asia/Kolkata|IN
null|Karan Public High School|Village & Post Office Chamanpura, Distt. Jhajjar, Tehsil Beri|N/A|HR|124102|null|Santosh Yadav|01268 09255333837 9891555230|Principal|vinodcomputerwala@rediffmail.com|Asia/Kolkata|IN
null|Karan Public School|Hansi Road|N/A|HR|132001|null|Sarika Gambhir|01421 0184-2255937|Principal|karanpublicschoolkarnal@yahoo.com|Asia/Kolkata|IN
null|Karan Public School|Karan Public School Model Town Jhajjar|N/A|HR|124103|null|Joginder Singh|01251-252852|Principal|karnpublicschool@yahoo.com|Asia/Kolkata|IN
null|Karhana Sr. Sec. School|Village Ferozepur Kalan, P.O Fatehpur Taga|N/A|HR|121004|null|Mr.B.P.Bhatt|9891657195|Principal|bpbhatt2010@gmail.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Air Force Station Sector 14 Gurgaon Haryana|N/A|HR|122001|null|R P Saini|06159 20009|Principal|kvfbd2@indiatimes.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Hmt Pinjore Panchkula Distt Haryana|N/A|HR|134101|null|Mr S P Sharma|29336|Principal|littleangels_tohana@rediffmail.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|N F L Township Panipat Haryana|N/A|HR|132106|null|Mrs Uma Goel|23539|Principal|administrator@nflppt.hry.nic.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Konsiwas Rewari Haryana|N/A|HR|123401|null|Dr J D Taneja|3781|Principal|kv_rewari@yahoo.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Hissar Cantt Haryana|N/A|HR|125001|null|S M Bhatti|0532 3786|Principal|drsc123@rediffmail.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Nuh Road Palwal Haryana|N/A|HR|121102|null|A D Gulati|2878|Principal|jayesh_dave@indiatimes.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Paluwas Bhiwani Haryana|N/A|HR|125021|null|Mr. Dr.A.K.Upadhyay|01664 243781|Principal|kvpbhiwani@yahoo.co.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Raghunathpura Narnaul Po Hamidpur Dt Mohirdergerh Haryana|N/A|HR|123001|null|G H Yadav|01282 3114|Principal|kvrnp-narnaul@rediffmail.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Nahra Dt. Sonepat Haryana|N/A|HR|131103|null|V P Garg|0911 73032|Principal|principal442@kvschool.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Harsingh Pura Distt Karnal Haryana|N/A|HR|132114|null|Kusum Lata|01748 255057|Principal|graphics@nde.vsnl.net.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Afs Mohd Pur Ahir Gurgaon Haryana|N/A|HR|122105|null|K C Sharma|29336|Principal|littleangels_tohana@rediffmail.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Gc Crpf Pinjore Panchkula Haryana|N/A|HR|134101|null|Shri Satya Garg|08301 66345|Principal|cy_world@hotmail.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|National Security Guard Manesar Gurgoan Haryana|N/A|HR|122051|null|Dr. Santosh Grover|0131 8324008|Principal|kv-no3patiala@yahoo.co.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya No 1|(Patel Park) Ambala Cantt Haryana|N/A|HR|133001|null|Kusum Lata|0532 20030|Principal|graphics@nde.vsnl.net.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya No 2|16 Majumdar Lines Ambala Cantt Haryana|N/A|HR|133001|null|B K Chadha|21822|Principal|kvno2@sify.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya No 2|N H Iv N I T Faridabad Haryana|N/A|HR|121001|null|Z S Chhikara|06159 215656|Principal|kvfbd2@indiatimes.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya No 3|Allenby Lines Ambala Cantt Haryana|N/A|HR|133001|null|Mr. M P Goel|06159 22030|Principal|kvfbd2@indiatimes.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya No 3|N H 4 Near Arya Samaj Mandir Faridabad Haryana|N/A|HR|121001|null|U S Srivastava|09262 51356|Principal|kvfbd2@indiatimes.com|Asia/Kolkata|IN
null|Kendriya Vidyalya|Delhi Bye Pass Delhi Rd. Rohtak Haryana|N/A|HR|124001|null|U S Srivastava|09262 51356|Principal|kvfbd2@indiatimes.com|Asia/Kolkata|IN
null|Kerala Pub School|Vill Jaitrawas Po Sulkha Distt Rewari Haryana|N/A|HR|123401|null|Ms Sobhna Tenippakkan|01676 542114|Principal|sddavps_jamtara@rediffmail.com|Asia/Kolkata|IN
null|Keshav Vidya Vihar Sr. Sec. School Khor|Vpo-Khor Tehsil-Pataudi Distt-Gurgaon{Haryana} Pin123414|N/A|HR|123414|null|Sh Raghubir Singh|0124-2289318|Principal|keshavschoolkhor@rediffmail.com|Asia/Kolkata|IN
null|Kiran Memorial Public School, Jawan|Kiran Memorial Public School, Village-Jawan, Tehsil- Ballabgarh, Dist- Faridabad|N/A|HR|121004|null|Ran Singh|0129 09813492284|Principal|kmpschool@gmail.com|Asia/Kolkata|IN
null|Kohinoor International Academy|Village Tatiana Cheeka Patiala Road|N/A|HR|136034|null|Kanwaljit Kaur Bajwa|01275 01743-222770|Principal|dharamjeettalwar@yahoo.co.in|Asia/Kolkata|IN
null|Koyal Public Sr Sec School|Vill- Khatoti Kalan, Po- Hamidpur, Tehsil- Narnaul, Distt- Mohindergarh|N/A|HR|123001|null|Dinesh Yadav|01282244274|Principal|koyalpssschool2008@gmail.com|Asia/Kolkata|IN
null|Krishna Public High School|Kanina Road, Gudha|N/A|HR|123027|null|Rekha Chhabra|01285-235523|Principal|khsgudha@gmail.com|Asia/Kolkata|IN
null|Krishna Public School|Nahar Road Railway Station Koshi Rewari Haryana|N/A|HR|123302|null|Mr. Sanjiv Kumar Verma|01259 683483|Principal|sanjivmalvika2007@rediffmail.com|Asia/Kolkata|IN
null|Krmangalam World School|Krmangalam World School E-Block, South City I Gurgaon.|N/A|HR|122001|null|Mrs.Neeti Kaushik|0124-2382596|Principal|principal.southcity@krmangalam.com|Asia/Kolkata|IN
null|Kundan Green Valley Paradise|Kundan Colony|N/A|HR|121004|null|Poonam|9910020066|Principal|vy1982@gmail.com|Asia/Kolkata|IN
null|Kvm Public School|Ladhot Road, Behind New Bus Stand|N/A|HR|124001|null|Prem S. Sharma|01262-312704|Principal|kvminstitutions@gmail.com|Asia/Kolkata|IN
null|L A Senior Secondary School|Delhi Road, Jhajjar, Distt. Jhajjar|N/A|HR|124103|null|Shri Krishan Murari|01251 2254168|Principal|shrisbmpbagh@gmail.com|Asia/Kolkata|IN
null|Lady Florence Public School|Vill Begum Pur Khotola Nh-8 Khandsa Gurgaon Haryana|N/A|HR|122001|null|Mr. Ms.Poonam Nagi|0124 2215911|Principal|ladyflorencepublicschool@yahoo.com|Asia/Kolkata|IN
null|Laxmi International School|Kasan Distt Gurgaon Haryana|N/A|HR|122001|null|M Giridharan|0130 2460619|Principal|kul_khalsa@yahoo.com|Asia/Kolkata|IN
null|Lbs Sr Sec School|V.P.O Kahnaur|N/A|HR|124412|null|Yashwanti|0122 09812574040|Principal|manojpunia2008@gmail.com|Asia/Kolkata|IN
null|Lion Public School|Sector-10A Gurgaon|N/A|HR|122001|null|Mr. Renu S Verma|0124 329526326937|Principal|lionspublicschool@yahoo.com|Asia/Kolkata|IN
null|Little Angels School|Model Town Sonepat Haryana|N/A|HR|131001|null|Mrs M Arya|01542 20574|Principal|littleangels@vsnl.net|Asia/Kolkata|IN
null|Little Hearts Public School|Kusumbhi Mor, Devsar|N/A|HR|127021|null|Mrs.Bhawna Goyal|01664205200|Principal|goyalsanjay216@gmail.com|Asia/Kolkata|IN
null|Lok Deep Public School|Rajiv Gandhi Marg Mohana Road Ballabagarh Distt Faridabad Haryana|N/A|HR|121004|null|Mrs Ranjana Choudhry|0129 2244885|Principal|gianbharti@rdiffmail.com|Asia/Kolkata|IN
null|Lord Mahavir Jain Public School|Rai Market Ambala Cantt. Haryana|N/A|HR|133001|null|Mrs. Ruchi Sharma|0171 4001474|Principal|lmjpsschool@yahoo.com|Asia/Kolkata|IN
null|Lotus Valley International School|M Block, Plot No. 2, Nirvana Country, South City-Ii, Sector-50|N/A|HR|122018|null|Mrs.Anita Malhotra|9810153361|Principal|principal@lotusvalleygurgaon.com|Asia/Kolkata|IN
null|Lttm Public School|Lttm Public School G.T. Road,Gharaunda (Karnal)|N/A|HR|132111|null|Nitika|01748251600|Principal|lttm@rediffmail.com|Asia/Kolkata|IN
null|M D N Public School|Northern Bye Pass Rohtak Haryana|N/A|HR|124001|null|Chittra Rekha|null|Principal|mdnps@rediffmail.com|Asia/Kolkata|IN
null|M D N Sr. Secondary School|Kalayat|N/A|HR|136117|null|Vijay Kumar|0171 46329690|Principal|bisontvm@rediffmail.com|Asia/Kolkata|IN
null|M M Public Senior Secondary School|Sec 4 U E Gurgaon Haryana|N/A|HR|122001|null|Mr. Ms.Poonam Nagi|0124 2215911|Principal|ladyflorencepublicschool@yahoo.com|Asia/Kolkata|IN
null|M R Memorial Convent School|Vpo Peeli Mandori Distt Fatehabad|N/A|HR|125050|null|Ruchesh Sharma|9729620889|Principal|mrmemftb@gmail.com|Asia/Kolkata|IN
null|M S Saraswati Sr Sec School|Rohtak Haryana|N/A|HR|124001|null|Sh Surender Kumar|null|Principal|msss@id.eth.net|Asia/Kolkata|IN
null|M. B. D. International High School|V&P.O. Beri, Kabulpur Road|N/A|HR|124201|null|Dharam Raj|09812186195|Principal|mbdischool@gmail.com|Asia/Kolkata|IN
null|M. S. Senior Sec. School, Jhansa|M. S. Sr. Sec. School, Jhansa, Kurukshetra|N/A|HR|136130|null|Usha Gupta|01744-257520|Principal|rattangupta@ymail.com|Asia/Kolkata|IN
null|M.D. Sr. Sec. School, Staundi, Karnal|V.P.O. Staundi|N/A|HR|132001|null|Jai Singh|04865 01748-253266|Principal|rjnlamba@yahoo.co.in|Asia/Kolkata|IN
null|M.D.A.V. Sr.Sec. School|Hisar Road Bhattu Mandi|N/A|HR|125053|null|Parveen Kumar|01667293675|Principal|ravindersahu@rediffmail.com|Asia/Kolkata|IN
null|M.D.Sr. Sec. School, Neemriwali (Bhiwani)|M.D. Sr. Sec. School, Neemriwali (Bhiwani), Haryana.|N/A|HR|127309|null|Sunita|9416212466|Principal|shiksha.hitkari@yahoo.com|Asia/Kolkata|IN
null|M.G.M. Sr. Sec. School|Jind Road|N/A|HR|124001|null|Meena Kumari|01262-255510|Principal|school.mgmsrsec@gmail.com|Asia/Kolkata|IN
null|M.H.D. Public School|Village-Odhan|N/A|HR|125077|null|Manisha Godara|01696-251594 251961|Principal|mhdschool@gmail.com|Asia/Kolkata|IN
null|M.M.International School Mullana|M.M.International School M.M.Educational Complex Mullana., Ambala|N/A|HR|133203|null|Vineeta Rajput|01731-275400|Principal|vineeta.rajput@yahoo.co.in|Asia/Kolkata|IN
null|M.R International School|Jagadhri Road, Bilaspur|N/A|HR|135102|null|Mrs.Neelam Jain|01735-321464|Principal|mrinternationalschool@yahoo.com|Asia/Kolkata|IN
null|M.R. Sr. Sec. School Hassanpur (Jhajjar)|Vpo Hassanpur Teh. & Distt. Jhajjar|N/A|HR|124103|null|Subhash Chander|01251252309|Principal|sachindas7122@yahoo.in|Asia/Kolkata|IN
null|M.R.Public High School|M.R Public High School, Gautam Nagar, Gohana|N/A|HR|131301|null|Raj Phool Kaushik|09255543278|Principal|mrpublicschool@rediffmail.com|Asia/Kolkata|IN
null|M.S.D. Springbells Public School|3Km Stone Bighar Road, Fatehabad|N/A|HR|125050|null|Rukmani Devi|01667296078|Principal|msd.springbellspublicschool@gmail.com|Asia/Kolkata|IN
null|Maa Saraswati Public School, Dahisara, Sonepat|Village Dahisara, Po|N/A|HR|N/A|null|Mahabir Singh|0130-2335145|Principal|maasaraswatips@rediffmail.com|Asia/Kolkata|IN
null|Madhu Sudan Public School|Shanti Vihar Rewari Haryana|N/A|HR|123401|null|Mr Dharam Bir|01274 256039|Principal|kmps_bhiwani@rediffmail.com|Asia/Kolkata|IN
null|Maharaja Agarsain Sanatan Dharam|Public Sr Sec School Nijampur Road Narnaul Distt Mohindergarh Haryana|N/A|HR|123001|null|Mr J K Arora|07748 9219966727|Principal|amarrai78@rediffmail.com|Asia/Kolkata|IN
null|Maharaja Agarsen Public School|Near Old Bus Stand Meham Haryana|N/A|HR|124112|null|Swarn Gupta|01274 43528|Principal|usha_narang@hotmail.com|Asia/Kolkata|IN
null|Maharaja Aggarsain Girls Senior Secondary School|Scheme No. 5, Gandhi Nagar, Jind|N/A|HR|126102|null|Indu Singla|01681253724|Principal|magsssjind@gmail.com|Asia/Kolkata|IN
null|Maharaja Aggarsain Public School|Kishangarh Road Shahabad Markanda Distt Kurukshetra Haryana|N/A|HR|136135|null|Mr. Mrs. Meenakshi Dogra|01744 243833|Principal|principal_davngh@yahoo.co.in|Asia/Kolkata|IN
null|Maharaja Aggarsen Public School|Vill. Sonda, Jalbera Road|N/A|HR|134003|null|Amar Jit Talwar|01734 01712802777|Principal|maps.2004@hotmail.com|Asia/Kolkata|IN
null|Maharaja Agrasain Girls Sr. School|Begu Road Maharaja Agrasain Marg Sirsa Haryana|N/A|HR|125055|null|Mrs. Kiran Rathore|01666 220778|Principal|maharaja_school@rediffmail.com|Asia/Kolkata|IN
null|Maharaja Agrasen Public School|New Gram Market Samalkha Distt Panipat Haryana|N/A|HR|132101|null|Savita Davi|0180 2899|Principal|aptechkaithal@vsnl.com|Asia/Kolkata|IN
null|Maharana Pratap Public School|Maharana Pratap Bhawan Univ. Road Kurukshetra Haryana|N/A|HR|132118|null|Mr. Annie Philip|01744 223659|Principal|maharanapratapschool@yahoo.co.in|Asia/Kolkata|IN
null|Maharani Laxmi Bai Neo Convent Public School|Vpo Bhadana|N/A|HR|131403|null|Krishan Kumar|09991965656|Principal|mlncschool@yahoo.com|Asia/Kolkata|IN
null|Maharishi Meinhien Public School|Karnal Road Assandh Distt Karnal Haryana|N/A|HR|132039|null|Mr. Mr R.V. Bhardwaj|01749 277281|Principal|mmps_asdh@yahoo.com|Asia/Kolkata|IN
null|Maharishi Vidya Mandir|Bawal Distt. Rewari Haryana|N/A|HR|123501|null|Bhagwati Sahay Sharma|40223|Principal|bsharma2@rediffmail.com|Asia/Kolkata|IN
null|Maharishi Vidya Mandir|Maharishi Dayanand Road Jagadhri Yamuna Nagar Haryana|N/A|HR|135001|null|Mr. Sanjeev Kumar|01732 247627|Principal|mvmyamunanagar@yahoo.co.in|Asia/Kolkata|IN
null|Maharishi Vidya Mandir|P O Pipli Kurukshetra (Sanwla) Haryana|N/A|HR|125120|null|Mr. R.C.Tyagi|01744 275646|Principal|mvmkkr@gmail.com|Asia/Kolkata|IN
null|Maharishi Vidya Mandir|Gangwa Hissar Haryana|N/A|HR|122503|null|Usha Thakur|01662 254766|Principal|pallotti_residential@yahoo.com|Asia/Kolkata|IN
null|Maharishi Vidya Mandir|Sheikh Majra Ambala Haryana|N/A|HR|134003|null|Sushma Choudhry|05965 234052|Principal|nvm-ambala@rediffmail.com|Asia/Kolkata|IN
null|Maharishi Vidya Mandir Public School|Chandu Sultanpur Lake Road Gurgaon Haryana|N/A|HR|122001|null|Sh R C Yadav|0341 0342-2623368|Principal|atanu.das2007@gmail.com|Asia/Kolkata|IN
null|Maharishi Vidya Mandir Sr Sec Sch|Jind Bye Pass Rohtak Road Near Distt. Jind Haryana|N/A|HR|126102|null|Mrs. Anita Sharma.|01681 245112|Principal|mvmjind@rediff.com|Asia/Kolkata|IN
null|Mahatma Jyoti Rao Public School|Outer Main Road Sector 11-12 Panipat Haryana|N/A|HR|132103|null|S. Jawahar|0171 60864|Principal|mjrschool@yahoo.co.in|Asia/Kolkata|IN
null|Mahendra Model School|Near Sector 3 & 4 Sonepat Road Rohtak Haryana|N/A|HR|124001|null|Mrs Sushila Khatri|0353 75881|Principal|bsfschoolkdm@hotmail.com|Asia/Kolkata|IN
null|Maj. R N Kapoor Dav Public School|53 Napier Road Ambala Cantt. Haryana|N/A|HR|133001|null|K Relan|01282 01262-210288|Principal|silverbellschool@gmail.com|Asia/Kolkata|IN
null|Major Bihari Lal Memorial Sr.Sec.School|V.P.O.Bilaspur Kalan,Distt.Gurgaon,Haryana|N/A|HR|122413|null|Saroj Choudhary|09813215146|Principal|sarojchoudhary@y7mail.com|Asia/Kolkata|IN
null|Mamchand Public School|Devru Road, Sonepat|N/A|HR|131001|null|Suman Malik|0130-6531112|Principal|mcpschool@rediffmail.com|Asia/Kolkata|IN
null|Manav Mangal School|Sector-11 Panchkula Ambala Dist. Haryana|N/A|HR|134108|null|T.R. Verma|null|Principal|manavmangal@hotmail.com|Asia/Kolkata|IN
null|Manav Rachan International School|Sector 14 Faridabad Haryana|N/A|HR|121006|null|Mrs. Mamta Wadhwa|0129 4197200|Principal|principal.mris14@mrei.ac.in|Asia/Kolkata|IN
null|Manav Rachna International School|Charmwood Village, Eros Garden, Sector-37, Faridabad|N/A|HR|121008|null|Mrs.Sanyogita Sharma|0129-4269999|Principal|principal.mriscw@mris.edu.in|Asia/Kolkata|IN
null|Manish Papneja Memorial Public School|Chappra Road, Ismailabad, Distt. Kurukshetra|N/A|HR|136129|null|Amita Sachdeva|01744-252524|Principal|mpmpublicschool@sify.com|Asia/Kolkata|IN
null|Mann International School|Sikanderpur Majra , Gohana|N/A|HR|131301|null|Mrs.Manju|01263-284045|Principal|manninternationalgohana@gmail.com|Asia/Kolkata|IN
null|Manohar Lal Saraf Dav Public School|Kulwazpur Road Narnaul Distt Mohindergarh Haryana|N/A|HR|123001|null|Mr. Virender Kumar|01282 252474|Principal|mlsdav_nnl@rediff.com|Asia/Kolkata|IN
null|Masd Public School|P O Box 66 Panipat Haryana|N/A|HR|132103|null|Mr Surinder Kumar Kaila|23088|Principal|masd@hansl.palcom.net|Asia/Kolkata|IN
null|Mata Gujri Public School|V.P.O. Kangthali, Tehsil Guhla, Distt Kaithal|N/A|HR|136035|null|Harjeet Singh|01743240700|Principal|mgpskangthali@yahoo.com|Asia/Kolkata|IN
null|Mata Mariam Jan Seva Vidyalaya|Post Box No 6 Narnaul Haryana|N/A|HR|123001|null|Mr. Fr. Ransom Pereira|01282 260211|Principal|matamariam@rediffmail.com|Asia/Kolkata|IN
null|Mata Punna Devi Dav Pub School|Desu Road Kalanwali Distt Sirsa Haryana|N/A|HR|125201|null|Mrs. Sangeeta Kakkar|01696 222265|Principal|mpddav@yahoo.in|Asia/Kolkata|IN
null|Meenakshi Public School|Sector 10 Near Anaz Mandi Gurgaon Haryana|N/A|HR|110031|null|Mrs. Vipula Saxena|0124 2371504|Principal|contact@meenakshipublicschool.com|Asia/Kolkata|IN
null|Mega Mind Sr. Sec. School, Tosham|Mega Mind Sr. Sec. School, Bhiwani Road, Tosham Distt- Bhiwani (Haryana)|N/A|HR|127040|null|Harpal Singh|01253-258044|Principal|megamind.poonia@gmail.com|Asia/Kolkata|IN
null|Megha Ram Public High School|V.P.O Bhainsru Khurd, Teh. Sampla, Distt. Rohtak , Haryana|N/A|HR|124501|null|Sudershan Kumar|9992615386 996494295|Principal|mrps_2011@rediffmail.com|Asia/Kolkata|IN
null|Merry Land Convent School|Rania Road, Village Dabwali, Distt. Sirsa|N/A|HR|125104|null|Mrs.Brij Anand|01668227404|Principal|sahil_september@yahoo.co.in|Asia/Kolkata|IN
null|Merry Land Convent School, Mandi Dabwali Distt. Sirsa|Sirsa Road|N/A|HR|125104|null|Brij Anand|01668-227404|Principal|sahil_september@yahoo.co.in|Asia/Kolkata|IN
null|Metis Public School|Vill Anta|N/A|HR|126112|null|Mr.Bijender Singh|9996542222|Principal|metisschool@gmail.com|Asia/Kolkata|IN
null|Mewat Model School|Bisru Road, Punhana|N/A|HR|122508|null|Sh P.C. George|01743 272973|Principal|davcheeka@yahoo.com|Asia/Kolkata|IN
null|Mewat Model School Nagina|Mewat Model School Nagina,Distt.-Mewat, Haryana|N/A|HR|122108|null|Ravindra Kumar Jain|01268-273650|Principal|mmss_nuh@rediffmail.com|Asia/Kolkata|IN
null|Mind Tree School|V.P.O. Panjokhra, Ambala Naraingarh Road|N/A|HR|134011|null|Mrs.Sudha Mathur|01712679999|Principal|tlc.sanjay@gmail.com|Asia/Kolkata|IN
null|Model School|Jhajjar Near Govt. College Delhi Road Distt. Jhajjar Haryana|N/A|HR|124104|null|Mr. Mr. V.S Ahlawat|01251 252375|Principal|ms_jjar@yahoo.com|Asia/Kolkata|IN
null|Model School|Company Bagh Rohtak Haryana|N/A|HR|124001|null|Mr. Col Retd Mohinder Singh|01262 253629|Principal|modelschool1952@yahoo.co.in|Asia/Kolkata|IN
null|Modern Arya Public School|Village-Saroorpur, Teh.- Ballabgarh, Faridabad(Haryana)|N/A|HR|121004|null|Veena Puri|9911085084|Principal|maikesh@yahoo.com|Asia/Kolkata|IN
null|Modern Delhi Public School|Sector 87, Tigaon Road|N/A|HR|121002|null|Madhu Malik|01250 01292229377 477|Principal|moderndps@rediffmail.com|Asia/Kolkata|IN
null|Modern School|Sector 17 Faridabad Haryana|N/A|HR|121002|null|A.C.Pachaury|286015|Principal|moderned@satyam.net.in|Asia/Kolkata|IN
null|Modern Sr. Sec. Sch.|Vill-Berli Kalan,Post-Musepur|N/A|HR|123401|null|Ajay Yadav|01281-232048|Principal|mdsssb@yahoo.com|Asia/Kolkata|IN
null|Modern Sr. Sec. School|Vill - Mirpur P.O.- Mirpur Distt. Rewari|N/A|HR|123401|null|Sunita Devi|01274-248365|Principal|karan_ymca2k6@yahoo.co.in|Asia/Kolkata|IN
null|Modern Sr. Sec. School, Bhojawas|Gomla Road, Bhojawas Sub. Teh. Kanina Distt. Mohindergarh (Haryana)|N/A|HR|123034|null|Anoop Singh|01285-244044|Principal|moderngroupedu@gmail.com|Asia/Kolkata|IN
null|Modern Vidya Niketan|Hodal, Faridabad, Haryana|N/A|HR|121106|null|Padyuman Lal Vyas|01275 236235|Principal|mss_hodal@yahoo.com|Asia/Kolkata|IN
null|Modern Vidya Niketan|Hodal|N/A|HR|121106|null|Pradyuman Lal Vyas|09215294683|Principal|mss_hodal@yahoo.com|Asia/Kolkata|IN
null|Modern Vidya Niketan Sr Sec School|Sector 17 Faridabad Haryana|N/A|HR|121001|null|Sh Gopal Sharma|5288724|Principal|kantand@ndf.vsnl.net.in|Asia/Kolkata|IN
null|Modish Public School|Vill Garhi Vinoda Hathin Faridabad Haryana|N/A|HR|121102|null|Sh Parveen Vashisht|01275 324145|Principal|vandcpatelenglishschool@gmail.com|Asia/Kolkata|IN
null|Moga Devi Minda Memorial School|H.No 532 Sector 15 Hisar|N/A|HR|125052|null|Mr.Mathew Varghese|01669291699|Principal|mdmmsbagla01@gmail.com|Asia/Kolkata|IN
null|Montessori Convent High School, Satnali|Montessori Convent High School, Satnali, Mahinder Garh, Haryana.|N/A|HR|123031|null|Kailash Bhardwaj|9416661808|Principal|school_montee@yahoo.com|Asia/Kolkata|IN
null|Mother India|Vpo.-Maraut Jhajjar-124103|N/A|HR|124103|null|Santosh Vashist|9991090401 9813908930|Principal|misssmaraut@yahoo.in|Asia/Kolkata|IN
null|Mother Teresa Modern Pub School|Ladwa Road Mathana Chonki Kurukshetra Haryana|N/A|HR|136131|null|Mrs Anita|0171 426|Principal|hareram.1305@gmail.com|Asia/Kolkata|IN
null|Mother Tersa Convent School, Bhattu Mandi|Near Radha Swami Satsang Ghar, Hisar Road, Bhattu Mandi, Fatehabad|N/A|HR|125053|null|Ruchesh Sharma|01667252510|Principal|mother_tersa@rediffmail.com|Asia/Kolkata|IN
null|Mother'S Pride Public School|Behind Housing Board Colony Cheeka Distt Kaithal Haryana|N/A|HR|136034|null|Mr Brijesh Saxena|05942 235747|Principal|snps.gurgaon@yahoo.com|Asia/Kolkata|IN
null|Moti Ram Arya Modern Public School|Sector 7 Panchkula Haryana|N/A|HR|134108|null|Dr. Mrs Uma Kapadia|570293|Principal|prem_garg@ch1.vsnl.net.in|Asia/Kolkata|IN
null|Motilal Nehru Public School|Urban Estate Jind Haryana|N/A|HR|126102|null|Santosh Anand|01264 53687|Principal|cityworldschool@yahoo.co.in|Asia/Kolkata|IN
null|Motilal Nehru School Of Sports|Rai Sonipat Distt Haryana|N/A|HR|131029|null|R C Rao|0171 7282585|Principal|jmambala@gmail.com|Asia/Kolkata|IN
